year	month	decimal_date	average	sd	indicator
1976	5	1976.3689	328.861	0.165	5
1976	6	1976.4536	328.988	0.285	6
1976	7	1976.5355	329.653	0.282	7
1976	8	1976.6202	330.55	0.201	8
1976	9	1976.7049	330.872	0.234	9
1976	10	1976.7869	330.899	0.015	10
1976	11	1976.8716	330.883	0.243	11
1976	12	1976.9536	330.677	0.187	12
1977	1	1977.0384	330.529	0.235	13
1977	2	1977.1233	330.543	0.198	14
1977	3	1977.2	330.724	0.119	15
1977	4	1977.2849	330.805	0.178	16
1977	5	1977.3671	331.007	0.132	17
1977	6	1977.4521	331.5	0.203	18
1977	7	1977.5342	331.8	0.206	19
1977	8	1977.6192	332.327	0.216	20
1977	9	1977.7041	332.94	0.113	21
1977	10	1977.7863	333.034	0.199	22
1977	11	1977.8712	332.778	0.226	23
1977	12	1977.9534	332.377	0.259	24
1978	1	1978.0384	332.094	0.201	25
1978	2	1978.1233	332.175	0.245	26
1978	3	1978.2	332.398	0.198	27
1978	4	1978.2849	332.474	0.201	28
1978	5	1978.3671	332.646	0.2	29
1978	6	1978.4521	333.015	0.102	30
1978	7	1978.5342	333.317	0.236	31
1978	8	1978.6192	333.926	0.363	32
1978	9	1978.7041	334.977	0.387	33
1978	10	1978.7863	335.333	0.203	34
1978	11	1978.8712	334.826	0.203	35
1978	12	1978.9534	334.531	0.197	36
1979	1	1979.0384	334.498	0.211	37
1979	2	1979.1233	334.585	0.21	38
1979	3	1979.2	334.763	0.198	39
1979	4	1979.2849	334.703	0.217	40
1979	5	1979.3671	334.626	0.177	41
1979	6	1979.4521	334.889	0.197	42
1979	7	1979.5342	335.452	0.265	43
1979	8	1979.6192	335.936	0.172	44
1979	9	1979.7041	335.981	0.213	45
1979	10	1979.7863	335.979	0.024	46
1979	11	1979.8712	335.971	0.215	47
1979	12	1979.9534	335.733	0.242	48
1980	1	1980.0383	335.678	0.204	49
1980	2	1980.123	335.778	0.188	50
1980	3	1980.2022	335.898	0.179	51
1980	4	1980.2869	336.057	0.179	52
1980	5	1980.3689	336.185	0.201	53
1980	6	1980.4536	336.532	0.229	54
1980	7	1980.5355	336.93	0.222	55
1980	8	1980.6202	337.096	0.17	56
1980	9	1980.7049	337.19	0.215	57
1980	10	1980.7869	337.116	0.201	58
1980	11	1980.8716	336.938	0.237	59
1980	12	1980.9536	336.916	0.232	60
1981	1	1981.0384	337.089	0.183	61
1981	2	1981.1233	337.23	0.227	62
1981	3	1981.2	337.226	0.128	63
1981	4	1981.2849	337.174	0.17	64
