year	concentration	spring	summer 	autumn	winter	nthyear	nthqrt
1977	333.439	1	0	0	0	0	0
1977	331.1465	0	1	0	0	0	0.25
1977	332.256	0	0	1	0	0	0.5
1977	332.2435	0	0	0	1	0	0.75
1978	335.2136667	1	0	0	0	1	1
1978	332.646	0	1	0	0	1	1.25
1978	333.7213333	0	0	1	0	1	1.5
1978	334.2061667	0	0	0	1	1	1.75
1979	336.8626667	1	0	0	0	2	2
1979	334.5923333	0	1	0	0	2	2.25
1979	335.687	0	0	1	0	2	2.5
1979	335.673	0	0	0	1	2	2.75
1980	338.3651667	1	0	0	0	3	3
1980	336.2081667	0	1	0	0	3	3.25
1980	337.17	0	0	1	0	3	3.5
1980	337.6028334	0	0	0	1	3	3.75
1981	339.6073333	1	0	0	0	4	4
1981	337.2858333	0	1	0	0	4	4.25
1981	338.5276667	0	0	1	0	4	4.5
1981	339.223	0	0	0	1	4	4.75
1982	340.8845	1	0	0	0	5	5
1982	338.2051667	0	1	0	0	5	5.25
1982	339.1323333	0	0	1	0	5	5.5
1982	340.3353333	0	0	0	1	5	5.75
1983	342.0388333	1	0	0	0	6	6
1983	339.7603333	0	1	0	0	6	6.25
1983	341.061	0	0	1	0	6	6.5
1983	341.1975	0	0	0	1	6	6.75
1984	344.1061667	1	0	0	0	7	7
1984	341.8401667	0	1	0	0	7	7.25
1984	342.9423333	0	0	1	0	7	7.5
1984	343.1471667	0	0	0	1	7	7.75
1985	345.3726667	1	0	0	0	8	8
1985	343.1733333	0	1	0	0	8	8.25
1985	344.2008333	0	0	1	0	8	8.5
1985	344.8156667	0	0	0	1	8	8.75
1986	346.8478333	1	0	0	0	9	9
1986	344.606	0	1	0	0	9	9.25
1986	345.6493333	0	0	1	0	9	9.5
1986	346.079	0	0	0	1	9	9.75
1987	348.2815	1	0	0	0	10	10
1987	345.9923333	0	1	0	0	10	10.25
1987	347.2038334	0	0	1	0	10	10.5
1987	347.3513333	0	0	0	1	10	10.75
1988	350.4993333	1	0	0	0	11	11
1988	348.4933334	0	1	0	0	11	11.25
1988	349.6595	0	0	1	0	11	11.5
1988	349.552	0	0	0	1	11	11.75
1989	352.0518333	1	0	0	0	12	12
1989	349.7608333	0	1	0	0	12	12.25
1989	350.9028333	0	0	1	0	12	12.5
1989	351.5916667	0	0	0	1	12	12.75
1990	353.1835	1	0	0	0	13	13
1990	350.9731667	0	1	0	0	13	13.25
1990	352.2495	0	0	1	0	13	13.5
1990	352.7093333	0	0	0	1	13	13.75
1991	354.8541667	1	0	0	0	14	14
1991	352.2265	0	1	0	0	14	14.25
1991	353.5511667	0	0	1	0	14	14.5
1991	354.3203333	0	0	0	1	14	14.75
1992	356.2063333	1	0	0	0	15	15
1992	353.5951667	0	1	0	0	15	15.25
1992	354.577	0	0	1	0	15	15.5
1992	355.5175	0	0	0	1	15	15.75
1993	357.0545	1	0	0	0	16	16
1993	354.5283334	0	1	0	0	16	16.25
1993	355.6631667	0	0	1	0	16	16.5
1993	356.5243333	0	0	0	1	16	16.75
1994	358.3018333	1	0	0	0	17	17
1994	355.9001667	0	1	0	0	17	17.25
1994	357.3163334	0	0	1	0	17	17.5
1994	357.6863334	0	0	0	1	17	17.75
1995	360.2708334	1	0	0	0	18	18
1995	358.0775	0	1	0	0	18	18.25
1995	359.314	0	0	1	0	18	18.5
1995	359.4325	0	0	0	1	18	18.75
1996	361.996	1	0	0	0	19	19
1996	359.9006667	0	1	0	0	19	19.25
1996	360.762	0	0	1	0	19	19.5
1996	361.3696667	0	0	0	1	19	19.75
1997	363.1691667	1	0	0	0	20	20
