year	concentration	summer	autumn	winter	nthyear	nthqrt
1958	316.8866667	0	0	0	0	0
1958	316.01	1	0	0	0	0.25
1958	312.9866667	0	1	0	0	0.5
1958	315.5766667	0	0	1	0	0.75
1959	317.5533333	0	0	0	1	1
1959	316.4966667	1	0	0	1	1.25
1959	313.9933333	0	1	0	1	1.5
1959	316.33	0	0	1	1	1.75
1960	318.8833333	0	0	0	2	2
1960	317.89	1	0	0	2	2.25
1960	314.3333333	0	1	0	2	2.5
1960	316.9266667	0	0	1	2	2.75
1961	319.5333333	0	0	0	3	3
1961	318.3766667	1	0	0	3	3.25
1961	315.4666667	0	1	0	3	3.5
1961	317.8333333	0	0	1	3	3.75
1962	320.4233333	0	0	0	4	4
1962	319.21	1	0	0	4	4.25
1962	316.12	0	1	0	4	4.5
1962	318.5033333	0	0	1	4	4.75
1963	321.1633333	0	0	0	5	5
1963	319.6633333	1	0	0	5	5.25
1963	316.4233333	0	1	0	5	5.5
1963	319.31	0	0	1	5	5.75
1964	321.6133333	0	0	0	6	6
1964	320.34	1	0	0	6	6.25
1964	317.0833333	0	1	0	6	6.5
1964	319.53	0	0	1	6	6.75
1965	321.7333333	0	0	0	7	7
1965	320.65	1	0	0	7	7.25
1965	317.9933333	0	1	0	7	7.5
1965	320.5466667	0	0	1	7	7.75
1966	323.39	0	0	0	8	8
1966	322.1633333	1	0	0	8	8.25
1966	318.84	0	1	0	8	8.5
1966	321.9533333	0	0	1	8	8.75
1967	324.1533333	0	0	0	9	9
1967	322.5166667	1	0	0	9	9.25
1967	319.79	0	1	0	9	9.5
1967	322.56	0	0	1	9	9.75
1968	324.8266667	0	0	0	10	10
1968	323.87	1	0	0	10	10.25
1968	320.6333333	0	1	0	10	10.5
1968	323.77	0	0	1	10	10.75
1969	326.5566667	0	0	0	11	11
1969	325.4166667	1	0	0	11	11.25
1969	322.34	0	1	0	11	11.5
1969	325.0533333	0	0	1	11	11.75
1970	327.7133333	0	0	0	12	12
1970	326.2333333	1	0	0	12	12.25
1970	323.39	0	1	0	12	12.5
1970	325.9933333	0	0	1	12	12.75
1971	327.9633333	0	0	0	13	13
1971	327.12	1	0	0	13	13.25
1971	323.9066667	0	1	0	13	13.5
1971	326.8033333	0	0	1	13	13.75
1972	329.18	0	0	0	14	14
1972	327.8166667	1	0	0	14	14.25
1972	325.5133333	0	1	0	14	14.5
1972	328.5533333	0	0	1	14	14.75
1973	331.4266667	0	0	0	15	15
1973	330.75	1	0	0	15	15.25
1973	327.6166667	0	1	0	15	15.5
1973	329.5666667	0	0	1	15	15.75
1974	332.44	0	0	0	16	16
1974	330.8066667	1	0	0	16	16.25
1974	327.64	0	1	0	16	16.5
1974	330.59	0	0	1	16	16.75
1975	333	0	0	0	17	17
1975	331.78	1	0	0	17	17.25
1975	328.7466667	0	1	0	17	17.5
1975	331.64	0	0	1	17	17.75
1976	334.2733333	0	0	0	18	18
1976	332.58	1	0	0	18	18.25
1976	329.28	0	1	0	18	18.5
1976	332.49	0	0	1	18	18.75
1977	336.01	0	0	0	19	19
1977	334.5366667	1	0	0	19	19.25
1977	331.6766667	0	1	0	19	19.5
1977	334.6	0	0	1	19	19.75
1978	337.4566667	0	0	0	20	20
1978	336.31	1	0	0	20	20.25
1978	332.8566667	0	1	0	20	20.5
1978	335.9133333	0	0	1	20	20.75
1979	338.7766667	0	0	0	21	21
1979	337.5066667	1	0	0	21	21.25
1979	334.5133333	0	1	0	21	21.5
1979	337.6833333	0	0	1	21	21.75
1980	340.8166667	0	0	0	22	22
1980	339.4933333	1	0	0	22	22.25
1980	336.5633333	0	1	0	22	22.5
1980	339.3766667	0	0	1	22	22.75
1981	342.4233333	0	0	0	23	23
1981	340.6133333	1	0	0	23	23.25
1981	337.5266667	0	1	0	23	23.5
1981	340.8666667	0	0	1	23	23.75
1982	343.8366667	0	0	0	24	24
1982	342.18	1	0	0	24	24.25
1982	338.7433333	0	1	0	24	24.5
1982	341.71	0	0	1	24	24.75
1983	344.97	0	0	0	25	25
1983	344.1966667	1	0	0	25	25.25
1983	340.9266667	0	1	0	25	25.5
1983	344.11	0	0	1	25	25.75
1984	346.8666667	0	0	0	26	26
1984	345.5633333	1	0	0	26	26.25
1984	342.2533333	0	1	0	26	26.5
1984	345.63	0	0	1	26	26.75
1985	348.6166667	0	0	0	27	27
1985	346.9366667	1	0	0	27	27.25
1985	343.85	0	1	0	27	27.5
1985	346.7933333	0	0	1	27	27.75
1986	349.5433333	0	0	0	28	28
1986	348.1333333	1	0	0	28	28.25
1986	345.5066667	0	1	0	28	28.5
1986	348.3766667	0	0	1	28	28.75
1987	351.12	0	0	0	29	29
1987	349.9966667	1	0	0	29	29.25
1987	347.1533333	0	1	0	29	29.5
1987	350.4966667	0	0	1	29	29.75
1988	353.5066667	0	0	0	30	30
1988	352.39	1	0	0	30	30.25
1988	349.5866667	0	1	0	30	30.5
1988	352.7066667	0	0	1	30	30.75
1989	355.25	0	0	0	31	31
1989	353.7766667	1	0	0	31	31.25
1989	350.6566667	0	1	0	31	31.5
1989	353.9566667	0	0	1	31	31.75
1990	356.5033333	0	0	0	32	32
1990	354.78	1	0	0	32	32.25
1990	352.07	0	1	0	32	32.5
1990	355.0533333	0	0	1	32	32.75
1991	358.4433333	0	0	0	33	33
1991	356.1666667	1	0	0	33	33.25
1991	352.8866667	0	1	0	33	33.5
1991	356.2533333	0	0	1	33	33.75
1992	358.9666667	0	0	0	34	34
1992	357.19	1	0	0	34	34.25
1992	353.6133333	0	1	0	34	34.5
1992	356.7333333	0	0	1	34	34.75
1993	359.4266667	0	0	0	35	35
1993	357.62	1	0	0	35	35.25
1993	354.6333333	0	1	0	35	35.5
1993	358.1433333	0	0	1	35	35.75
1994	361.0833333	0	0	0	36	36
1994	359.3466667	1	0	0	36	36.25
1994	356.5733333	0	1	0	36	36.5
1994	360.0466667	0	0	1	36	36.75
1995	363.0833333	0	0	0	37	37
1995	361.48	1	0	0	37	37.25
1995	358.69	0	1	0	37	37.5
1995	362.1266667	0	0	1	37	37.75
1996	364.74	0	0	0	38	38
1996	363.4333333	1	0	0	38	38.25
1996	360.15	0	1	0	38	38.5
1996	363.28	0	0	1	38	38.75
1997	365.97	0	0	0	39	39
1997	364.1966667	1	0	0	39	39.25
1997	361.3566667	0	1	0	39	39.5
1997	365.3333333	0	0	1	39	39.75
1998	368.57	0	0	0	40	40
1998	367.7366667	1	0	0	40	40.25
1998	364.79	0	1	0	40	40.5
1998	368.31	0	0	1	40	40.75
1999	370.7033333	0	0	0	41	41
1999	369.0433333	1	0	0	41	41.25
1999	365.7833333	0	1	0	41	41.5
1999	369.14	0	0	1	41	41.75
2000	371.4933333	0	0	0	42	42
2000	370.0533333	1	0	0	42	42.25
2000	367.62	0	1	0	42	42.5
2000	370.76	0	0	1	42	42.75
2001	373.4033333	0	0	0	43	43
2001	371.62	1	0	0	43	43.25
2001	368.9633333	0	1	0	43	43.5
2001	372.4966667	0	0	1	43	43.75
2002	375.14	0	0	0	44	44
2002	373.96	1	0	0	44	44.25
2002	371.3633333	0	1	0	44	44.5
2002	374.9566667	0	0	1	44	44.75
2003	377.78	0	0	0	45	45
2003	376.6366667	1	0	0	45	45.25
2003	373.83	0	1	0	45	45.5
2003	377.13	0	0	1	45	45.75
2004	380.1333333	0	0	0	46	46
2004	377.8966667	1	0	0	46	46.25
2004	375.13	0	1	0	46	46.5
2004	378.74	0	0	1	46	46.75
2005	382.0233333	0	0	0	47	47
2005	380.7533333	1	0	0	47	47.25
2005	377.54	0	1	0	47	47.5
2005	381.43	0	0	1	47	47.75
2006	384.2933333	0	0	0	48	48
2006	382.4966667	1	0	0	48	48.25
2006	379.5733333	0	1	0	48	48.5
2006	383.08	0	0	1	48	48.75
2007	386.1066667	0	0	0	49	49
2007	384.4333333	1	0	0	49	49.25
2007	381.7566667	0	1	0	49	49.5
2007	385.3433333	0	0	1	49	49.75
2008	387.4633333	0	0	0	50	50
2008	386.3066667	1	0	0	50	50.25
2008	383.6766667	0	1	0	50	50.5
2008	386.8866667	0	0	1	50	50.75
2009	389.72	0	0	0	51	51
2009	388.08	1	0	0	51	51.25
2009	385.2733333	0	1	0	51	51.5
2009	388.9833333	0	0	1	51	51.75
2010	392.4166667	0	0	0	52	52
2010	390.4433333	1	0	0	52	52.25
2010	387.7766667	0	1	0	52	52.5
2010	391.18	0	0	1	52	52.75
2011	393.55	0	0	0	53	53
2011	392.3333333	1	0	0	53	53.25
2011	389.65	0	1	0	53	53.5
2011	393.1366667	0	0	1	53	53.75
2012	395.9666667	0	0	0	54	54
2012	394.3533333	1	0	0	54	54.25
2012	391.93	0	1	0	54	54.5
2012	395.7933333	0	0	1	54	54.75
2013	398.7733333	0	0	0	55	55
2013	397.2366667	1	0	0	55	55.25
2013	394.3266667	0	1	0	55	55.5
2013	397.78	0	0	1	55	55.75
2014	401.1266667	0	0	0	56	56
2014	399.3766667	1	0	0	56	56.25
2014	396.4933333	0	1	0	56	56.5
2014	399.96	0	0	1	56	56.75
2015	403.08	0	0	0	57	57
2015	401.18	1	0	0	57	57.25
2015	398.86	0	1	0	57	57.5
2015	403.0133333	0	0	1	57	57.75
2016	406.8533333	0	0	0	58	58
2016	404.6766667	1	0	0	58	58.25
2016	402.2466667	0	1	0	58	58.5
2016	405.8866667	0	0	1	58	58.75
2017	408.88	0	0	0	59	59
2017	407.2433333	1	0	0	59	59.25
2017	404.2333333	0	1	0	59	59.5
2017	407.89	0	0	1	59	59.75
2018	410.4933333	0	0	0	60	60
2018	409.0166667	1	0	0	60	60.25
2018	406.7033333	0	1	0	60	60.5
2018	410.7533333	0	0	1	60	60.75
2019	413.5266667	0	0	0	61	61
2019	412.1033333	1	0	0	61	61.25
2019	409.33	0	1	0	61	61.5
2019	413.31	0	0	1	61	61.75
2020	416.1666667	0	0	0	62	62
2020	414.6666667	1	0	0	62	62.25
2020	412.05	0	1	0	62	62.5
2020	415.51	0	0	1	62	62.75
